,,,,,,
,,,,"NOME NEGOZIO",,
,,,,,,
"CODICE","IMMAGINE","QUANTITA'","JAN CODE","DESCRIZIONE ","PREZZO ","PREZZO"
"COSMIC",,"ORDINE",,,"REGOLARE","SUGGERITO"
,,,,"OO",,
22329,"Clicca qui",,"0153804"," MG SHIN MUSHA GUNDAM","€ 30,00","€ 60,00"
22064,"Clicca qui",,"0155520"," MG GUNDAM RX-78-2 ver.2.0","€ 25,20","€ 50,40"
27406,"Clicca qui",,"0155521"," MG ZAKU CANNON","€ 27,00","€ 54,00"
21890,"Clicca qui",,"0156535"," MG MS-06R-2 J RIDDEN ZAKU Ver.2.0 ","€ 27,00","€ 54,00"
21737,"Clicca qui",,"0156649"," MG INFINITE JUSTICE GUNDAM","€ 30,00","€ 60,00"
21727,"Clicca qui",,"0156655"," MG SHIN MATSUNAGA ZAKU Ver. 2.0","€ 27,00","€ 54,00"
21680,"Clicca qui",,"0156877"," MG SINANJU","€ 42,00","€ 84,00"
17475,"Clicca qui",,"0157465"," MG G FIGHTER ","€ 33,60","€ 67,20"
21143,"Clicca qui",,"0159452"," MG GUNDAM EXIA ","€ 22,80","€ 45,60"
17375,"Clicca qui",,"0161398"," MG 1/100 QUBELEY Mk-?(ELPEO PURU)","€ 24,00","€ 48,00"
20701,"Clicca qui",,"0161570"," MG 1/100 GUNDAM EXIA (TRANS-AM  MODE)","€ 34,80","€ 69,60"
26705,"Clicca qui",,"0162047"," MG 1/100 ASTRAY RED FRAME REVISE","€ 30,00","€ 60,00"
20345,"Clicca qui",,"0162053"," MG 1/100 UNICORN GUNDAM SCREEN IMAGE ","€ 30,00","€ 60,00"
20277,"Clicca qui",,"0162352"," MG 1/100 WING GUNDAM","€ 24,00","€ 48,00"
20165,"Clicca qui",,"0165298"," MG 1/100 RE-ZEL","€ 28,80","€ 57,60"
19514,"Clicca qui",,"0165654"," MG 1/100 OO QAN[T]","€ 27,00","€ 54,00"
26121,"Clicca qui",,"0169914"," MG 1/100 OO RAISER","€ 39,00","€ 78,00"
16328,"Clicca qui",,"0150539"," MG GUNDAM O.Y.W. (ANIME COLOR)","€ 19,20","€ 38,40"
16201,"Clicca qui",,"0100741"," MG STRIKE FREEDOM GUNDAM (SPECIAL VER.)","€ 42,00","€ 84,00"
25679,"Clicca qui",,"0151244"," MG DESTINY GUNDAM SPECIAL EDITION","€ 42,00","€ 84,00"
20069,"Clicca qui",,"0158211"," MG SHINMUSHA GUNDAM ""SENGOKU NO JIN""","€ 48,00","€ 96,00"
19594,"Clicca qui",,"0162052"," MG 1/100 UNICORN GUNDAM SCREEN IMAGE SPECIAL","€ 45,00","€ 90,00"
,,,,"PG",,
16099,"Clicca qui",,"0158463"," 1/60 PG GUNDAM ASTRAY RED FRAME","€ 108,00","€ 216,00"
20006,"Clicca qui",,"0165506"," 1/60 PG STRIKE FREEDOM GUNDAM","€ 150,00","€ 300,00"
,,,,"RG",,
"716","Clicca qui",,"0163280"," RG 1/144 RX-78-2 GUNDAM","€ 15,00","€ 30,00"
"718","Clicca qui",,"0165511"," RG MS-06S ZAKU ?","€ 15,00","€ 30,00"
"719","Clicca qui",,"0169492"," RG 1/144 AILE STRIKE GUNDAM","€ 15,00","€ 30,00"
43615,"Clicca qui",,"0170388"," RG MS-06F ZAKU ?","€ 15,00","€ 30,00"
,,,,"ACTION BASE",,
"19347","Clicca qui",,"0148215"," ACTION BASE  (BLACK)","€ 3,30","€ 6,60"
"19161","Clicca qui",,"0148216"," ACTION BASE  (GRAY)","€ 3,30","€ 6,60"
"19141","Clicca qui",,"0148217"," ACTION BASE  (WHITE)","€ 3,30","€ 6,60"
"19079","Clicca qui",,"0152159"," ACTION BASE 1 CLEAR","€ 3,30","€ 6,60"
"19077","Clicca qui",,"0156776"," ACTION BASE 1 SPARKLE CLEAR GREEN","€ 3,90","€ 7,80"
"18928","Clicca qui",,"0149845"," ACTION BASE2 BLACK","€ 2,70","€ 5,40"
"18875","Clicca qui",,"0150540"," ACTION BASE2 GRAY","€ 2,70","€ 5,40"
"18725","Clicca qui",,"0150659"," ACTION BASE2 AQUA BLUE","€ 2,70","€ 5,40"
"18664","Clicca qui",,"0153708"," ACTION BASE2 CLEAR SPARKLE GREEN","€ 3,00","€ 6,00"
"18661","Clicca qui",,"0154456"," ACTION BASE 02 SPARKLE RED","€ 3,00","€ 6,00"
17609,"Clicca qui",,"0167071"," ACTION BASE 3","€ 3,90","€ 7,80"
,,,,,,
15793,,,"0171118","BB LEGEND SET 3","€ 268,55","€ 537,10"
,,2,"0075669"," BB203 W GUNDAM ZERO CUSTOM",,
,,2,"0113936"," BB239 SHINING GUNDAM",,
,,2,"0114216"," BB242 GF13-01NJ? G GUNDAM",,
,,2,"0113780"," BB245 DEVIL GUNDAM",,
,,2,"0117604"," BB246 STRIKE GUNDAM",,
,,2,"0117990"," BB248 GUNDAM ASTRAY",,
,,2,"0122714"," BB257 FREEDOM GUNDAM",,
,,2,"0123716"," BB259 STRIKE GUNDAM STRIKER WEAPON PACK",,
,,2,"0124124"," BB261 AEGIS GUNDAM",,
,,2,"0125654"," BB264 BLITZ GUNDAM",,
,,2,"0129452"," BB268 JUSTICE GUNDAM",,
,,2,"0131878"," BB276 DUEL GUNDAM ASSAULT SHROUD",,
,,2,"0134106"," BB280 FORCE IMPULSE GUNDAM",,
,,2,"0134117"," BB281 GUNNER ZAKU WARRIOR (LUNAMARIA)",,
,,2,"0139064"," BB285 BLAZE ZAKU PHANTOM",,
,,2,"0141040"," BB288 STRIKE FREEDOM GUNDAM",,
,,2,"0143420"," BB290 DESTINY GUNDAM",,
,,2,"0148084"," BB293 STRIKE NOIR GUNDAM",,
,,2,"0149253"," BB294 VERDE BUSTER GUDAM",,
,,2,"0149838"," BB295 BLU DUEL GUNDAM",,
,,2,"0150660"," BB296 BLAZE ZAKU WARRIOR",,
,,2,"0150537"," BB297 STARGAZER",,
,,2,"0150661"," BB298 BLAZE ZAKU PHANTOM HEINE",,
,,4,"0150662"," BB299 GUNDAM ASTRAY GOLD FRAME",,
,,2,"0155528"," BB313 GUNDAM EXIA",,
,,2,"0156650"," BB316 OO GUNDAM",,
,,2,"0158437"," BB322 OO-RAISER",,
,,4,"0159939"," BB333 O GUNDAM(OPERATIONAL MODE)",,
,,4,"0159940"," BB334 GUNDAM EXIA REPAIR 2",,
,,4,"0165566"," BB364 OO QAN[T]",,
,,4,"0170381"," BB366 WING GUNDAM EW VER.",,
,,,,"BB",,
43443,"Clicca qui",,"0075669"," BB203 W GUNDAM ZERO CUSTOM","€ 3,50","€ 6,00"
16329,"Clicca qui",,"0113936"," BB239 SHINING GUNDAM","€ 4,20","€ 7,20"
16222,"Clicca qui",,"0114216"," BB242 GF13-01NJ? G GUNDAM","€ 4,20","€ 7,20"
16128,"Clicca qui",,"0113780"," BB245 DEVIL GUNDAM","€ 5,60","€ 9,60"
16084,"Clicca qui",,"0117604"," BB246 STRIKE GUNDAM","€ 3,50","€ 6,00"
16076,"Clicca qui",,"0117990"," BB248 GUNDAM ASTRAY","€ 3,50","€ 6,00"
16072,"Clicca qui",,"0122714"," BB257 FREEDOM GUNDAM","€ 3,50","€ 6,00"
16057,"Clicca qui",,"0123716"," BB259 STRIKE GUNDAM STRIKER WEAPON PACK","€ 7,00","€ 12,00"
42452,"Clicca qui",,"0124124"," BB261 AEGIS GUNDAM","€ 3,50","€ 6,00"
42336,"Clicca qui",,"0125654"," BB264 BLITZ GUNDAM","€ 3,50","€ 6,00"
42169,"Clicca qui",,"0129452"," BB268 JUSTICE GUNDAM","€ 4,20","€ 7,20"
16041,"Clicca qui",,"0131878"," BB276 DUEL GUNDAM ASSAULT SHROUD","€ 3,50","€ 6,00"
42087,"Clicca qui",,"0134106"," BB280 FORCE IMPULSE GUNDAM","€ 4,20","€ 7,20"
16035,"Clicca qui",,"0134117"," BB281 GUNNER ZAKU WARRIOR (LUNAMARIA)","€ 4,20","€ 7,20"
16018,"Clicca qui",,"0139064"," BB285 BLAZE ZAKU PHANTOM","€ 4,20","€ 7,20"
42081,"Clicca qui",,"0141040"," BB288 STRIKE FREEDOM GUNDAM","€ 4,20","€ 7,20"
42065,"Clicca qui",,"0143420"," BB290 DESTINY GUNDAM","€ 5,60","€ 9,60"
42064,"Clicca qui",,"0148084"," BB293 STRIKE NOIR GUNDAM","€ 4,20","€ 7,20"
15985,"Clicca qui",,"0149253"," BB294 VERDE BUSTER GUDAM","€ 4,20","€ 7,20"
15972,"Clicca qui",,"0149838"," BB295 BLU DUEL GUNDAM","€ 4,20","€ 7,20"
15929,"Clicca qui",,"0150660"," BB296 BLAZE ZAKU WARRIOR","€ 4,20","€ 7,20"
15912,"Clicca qui",,"0150537"," BB297 STARGAZER","€ 4,20","€ 7,20"
15899,"Clicca qui",,"0150661"," BB298 BLAZE ZAKU PHANTOM HEINE","€ 4,20","€ 7,20"
